"","SPY192810","SPY192811","SPY192812","SPY192817","SPY192818","SPY192819","SPY192823","SPY192824","SPY192825","SPY192826","SPY192827","SPY192830","SPY192831","SPY192832","SPY192835","SPY192836","SPY192839","SPY192841","SPY192847","SPY192849","SPY192852","SPY192853","SPY193058","SPY193059","SPY193060","SPY193061","SPY193062","SPY193063","SPY193064","SPY193068"
"Micromesistius poutassou",1108,398,2484,170,4226,717,0,2489,3228,354,666,5950,6320,0,13077,31238,0,1320,0,1200,6436,0,5320,12440,151,8424,337,0,195,16926
"Microstomus kitt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3863,0
"Mola mola",0,36,0,0,12636,190,520,2637,0,0,0,0,0,0,0,10290,0,0,3660,0,0,0,0,0,0,0,0,0,0,0
"Molva",0,0,0,0,15426,0,0,0,0,0,0,0,0,0,0,1126,66,694,0,0,0,0,0,78,0,0,0,0,0,0
"Mullus surmuletus",15756,100,0,0,194,76725,4311,16796,5747,1495,930,6758,0,2637,0,0,2625,0,30197,1034,2707,19471,0,0,278,0,0,0,0,1572
"Mustelus asterias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,0,0,528,0,1475,666,0
"Myctophum punctatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47421,1534,0,6033,0,0,0,21914
"Myliobatis aquila",0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notoscopelus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2458,0,0,116,0,0,0,0,16949,0,1427,0,0,0,0,10024
"Pagellus acarne",14207,0,0,0,0,32694,125,0,29301,87,3603,0,0,2324,0,0,5664,0,41832,1045,0,6490,0,0,0,0,0,0,0,0
"Pagellus bogaraveo",0,17384,738,3148,7746,202,5429,1207,327,0,5010,17247,0,7632,12808,0,3902,18557,0,0,0,0,7209,0,7530,1345,35619,1200,2304,25100
"Pagellus erythrinus",0,0,0,0,0,323,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parablennius pilicornis",0,0,0,0,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pegusa lascaris",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1685,0,0,0,0,0,0,0,0,0,0,0
"Polymetme thaeocoryla",0,0,64,25,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2988,0,0,0,0
"Pomatoschistus",0,606,147,11492,0,0,1908,5226,357,1877,0,0,8558,0,0,0,10503,0,0,3835,25444,0,0,71,7850,0,0,101,825,0
"Prionace glauca",0,1501,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raja",0,275,360,0,687,152,0,0,79,0,8158,0,74,0,358,0,3045,643,94,648,0,0,765,2627,1392,357,0,0,7984,176
"Rhynchoconger flavus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758,0,0
"Sarda sarda",14081,292,0,0,0,0,433,1749,0,264,0,0,0,3368,0,0,420,0,0,4704,0,1932,0,0,0,0,8396,0,0,0
"Sardina pilchardus",61135,316,0,0,1154,18793,161324,258686,176949,104530,244212,139649,2144,208205,10054,0,81657,575,34752,157306,165710,116134,22,0,0,205,72238,11875,19459,858
"Sarpa salpa",0,0,0,0,0,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scomber colias",3066,42,0,31,371,2832,22046,11000,1877,46,83,24461,0,0,0,0,15300,10,4363,2000,221,2022,644,281,67,261,207,86,137,11
"Scomber scombrus",0,3663,1566,3174,0,439,79531,99597,25731,14024,8270,47939,431,883,1313,0,71030,1206,828,24772,12018,29970,0,30873,14669,21909,28103,15113,21015,2365
"Scomberesox saurus",30811,639,0,0,33732,2037,436,2666,269,0,4304,4224,8433,0,127080,32210,4022,348712,93,0,0,20,0,0,0,0,28107,203,0,0
"Scophthalmus maximus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0
"Scophthalmus rhombus",0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scorpaena scrofa",8379,0,0,0,0,1587,0,0,0,337,4560,0,0,0,737,0,724,691,2381,0,0,2005,0,0,0,0,0,0,0,0
"Scyliorhinus",0,2451,179,29,0,268,502,709,0,0,0,226,301,0,0,178,2325,391,59,2664,0,2214,17128,2667,533,1954,8345,462,0,9735
"Searsia koefoedi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,0,0,0
"Serranus cabrilla",0,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solea",1637,428,1368,361,445,0,3033,9297,7423,1853,1287,299,0,11754,0,0,7569,0,0,19255,9175,0,0,0,0,4091,0,0,0,62
"Spondyliosoma cantharus",25327,604,0,0,0,261902,15462,40045,7729,9797,34719,13635,0,4033,0,0,24966,0,236636,0,2161,20821,0,0,0,0,0,0,208,0
"Sprattus sprattus",125,0,391,0,0,0,740,718,15916,5335,8935,3866,0,12437,0,0,1891,6288,349,0,0,0,0,176,0,15878,0,2675,510,0
"Squalus acanthias",0,0,0,0,0,0,63,0,0,0,0,0,0,1409,0,0,176,0,0,0,0,0,0,0,0,0,0,0,10,194
"Thunnus",0,118,0,0,0,0,0,0,0,0,0,406,0,1485,0,0,0,0,0,77,0,0,683,0,0,0,0,0,0,0
"Torpedo marmorata",0,0,0,0,0,1171,0,0,307,1644,0,0,0,1579,0,0,0,0,1911,0,0,0,0,0,0,0,0,0,0,0
"Trachinus draco",404,61,0,0,0,23243,549,5140,131,0,1195,218,0,0,0,0,210,0,16636,2266,2635,12751,0,0,0,325,0,0,0,0
"Trachurus",59067,177603,60653,93236,123538,85197,98478,169519,50544,12530,101343,120757,100619,97006,223005,100894,130112,188658,150395,70114,37024,46429,16395,55043,94717,153067,343354,73077,79860,19233
"Trigla lyra",0,1379,0,0,12254,15994,0,0,0,603,0,550,2724,0,9061,2182,0,0,129,0,0,0,0,0,0,0,0,0,0,0
"Trisopterus",285,781,272,957,5922,11043,101907,8761,11088,249,6419,1308,2192,586,0,34076,8811,1594,11615,390,1746,0,2301,1182,4750,8490,122,678,12574,13
"Umbrina",26293,0,0,0,0,85028,220,1507,1027,0,0,43117,0,0,0,0,1516,0,52215,0,0,7452,0,0,0,0,0,0,0,0
"Xenodermichthys",0,0,6637,39899,0,0,0,0,0,0,0,11710,0,0,0,0,9149,6491,0,222,0,0,65897,1951,6255,16997,0,0,0,29702
"Zeus faber",0,632,2516,735,239,0,2609,3756,166,0,74,0,320,0,57,0,6725,659,0,0,53,0,25155,1748,12270,7990,1878,2226,2128,4965
