"","species","genus","family","order","class"
"Molva molva","Molva molva","Molva","Gadidae","Gadiformes","Actinopterygii"
"Notoscopelus bolini","Notoscopelus bolini","Notoscopelus","Myctophidae","Myctophiformes","Actinopterygii"
"Notoscopelus caudispinosus","Notoscopelus caudispinosus","Notoscopelus","Myctophidae","Myctophiformes","Actinopterygii"
"Notoscopelus kroeyeri","Notoscopelus kroeyeri","Notoscopelus","Myctophidae","Myctophiformes","Actinopterygii"
"Pomatoschistus lozanoi","Pomatoschistus lozanoi","Pomatoschistus","Gobiidae","Gobiiformes","Actinopterygii"
"Pomatoschistus marmoratus","Pomatoschistus marmoratus","Pomatoschistus","Gobiidae","Gobiiformes","Actinopterygii"
"Pomatoschistus microps","Pomatoschistus microps","Pomatoschistus","Gobiidae","Gobiiformes","Actinopterygii"
"Pomatoschistus minutus","Pomatoschistus minutus","Pomatoschistus","Gobiidae","Gobiiformes","Actinopterygii"
"Pomatoschistus norvegicus","Pomatoschistus norvegicus","Pomatoschistus","Gobiidae","Gobiiformes","Actinopterygii"
"Pomatoschistus pictus","Pomatoschistus pictus","Pomatoschistus","Gobiidae","Gobiiformes","Actinopterygii"
"Raja asterias","Raja asterias","Raja","Rajidae","Rajiformes","Elasmobranchii"
"Raja brachyura","Raja brachyura","Raja","Rajidae","Rajiformes","Elasmobranchii"
"Raja clavata","Raja clavata","Raja","Rajidae","Rajiformes","Elasmobranchii"
"Raja microocellata","Raja microocellata","Raja","Rajidae","Rajiformes","Elasmobranchii"
"Raja miraletus","Raja miraletus","Raja","Rajidae","Rajiformes","Elasmobranchii"
"Raja montagui","Raja montagui","Raja","Rajidae","Rajiformes","Elasmobranchii"
"Raja undulata","Raja undulata","Raja","Rajidae","Rajiformes","Elasmobranchii"
"Scyliorhinus canicula","Scyliorhinus canicula","Scyliorhinus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii"
"Scyliorhinus stellaris","Scyliorhinus stellaris","Scyliorhinus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii"
"Solea senegalensis","Solea senegalensis","Solea","Soleidae","Pleuronectiformes","Actinopterygii"
"Solea solea","Solea solea","Solea","Soleidae","Pleuronectiformes","Actinopterygii"
"Thunnus alalunga","Thunnus alalunga","Thunnus","Scombridae","Scombriformes","Actinopterygii"
"Thunnus albacares","Thunnus albacares","Thunnus","Scombridae","Scombriformes","Actinopterygii"
"Thunnus obesus","Thunnus obesus","Thunnus","Scombridae","Scombriformes","Actinopterygii"
"Thunnus thynnus","Thunnus thynnus","Thunnus","Scombridae","Scombriformes","Actinopterygii"
"Trachurus mediterraneus","Trachurus mediterraneus","Trachurus","Carangidae","Carangiformes","Actinopterygii"
"Trachurus picturatus","Trachurus picturatus","Trachurus","Carangidae","Carangiformes","Actinopterygii"
"Trachurus trachurus","Trachurus trachurus","Trachurus","Carangidae","Carangiformes","Actinopterygii"
"Trisopterus esmarkii","Trisopterus esmarkii","Trisopterus","Gadidae","Gadiformes","Actinopterygii"
"Trisopterus luscus","Trisopterus luscus","Trisopterus","Gadidae","Gadiformes","Actinopterygii"
"Trisopterus minutus","Trisopterus minutus","Trisopterus","Gadidae","Gadiformes","Actinopterygii"
"Umbrina cirrosa","Umbrina cirrosa","Umbrina","Sciaenidae","Acanthuriformes","Actinopterygii"
"Umbrina ronchus","Umbrina ronchus","Umbrina","Sciaenidae","Acanthuriformes","Actinopterygii"
"Xenodermichthys copei","Xenodermichthys copei","Xenodermichthys","Alepocephalidae","Alepocephaliformes","Actinopterygii"
"Dicentrarchus labrax","Dicentrarchus labrax","Dicentrarchus","Moronidae","Moroniformes","Actinopterygii"
"Dicentrarchus punctatus","Dicentrarchus punctatus","Dicentrarchus","Moronidae","Moroniformes","Actinopterygii"
