"","species","genus","family","other","ncbi","custom","rank"
"2920","Tropheus duboisi","Tropheus","Cichlidae",NA,1,NA,"species"
"2921","Halichoeres melanurus","Halichoeres","Labridae",NA,2,NA,"species"
"2922","Bovichtus argentinus","Bovichtus","Bovichtidae",NA,1,NA,"species"
"2923","Notothenia coriiceps","Notothenia","Nototheniidae",NA,1,NA,"species"
"2924","Parapercis cylindrica","Parapercis","Pinguipedidae",NA,1,NA,"species"
"2925",NA,"Ammodytes","Ammodytidae",NA,1,NA,"genus"
"2926","Enneapterygius etheostomus","Enneapterygius","Tripterygiidae",NA,1,NA,"species"
"2927","Icosteus aenigmaticus","Icosteus","Icosteidae",NA,1,NA,"species"
"2928","Foetorepus altivelis","Foetorepus","Callionymidae",NA,1,NA,"species"
"2929","Draconetta xenica","Draconetta","Draconettidae",NA,1,NA,"species"
"2930","Schindleria praematura","Schindleria","Schindleriidae",NA,2,NA,"species"
"2931","Kurtus gulliveri","Kurtus","Kurtidae",NA,1,NA,"species"
"2932",NA,"Siganus","Siganidae",NA,2,NA,"genus"
"2933","Zebrasoma flavescens","Zebrasoma","Acanthuridae",NA,1,NA,"species"
"2934","Gasterochisma melampus","Gasterochisma","Scombridae",NA,1,NA,"species"
"2935","Istiophorus albicans","Istiophorus","Istiophoridae",NA,1,NA,"species"
"2936","Cubiceps pauciradiatus","Cubiceps","Nomeidae",NA,1,NA,"species"
"2937","Trichogaster lalius","Trichogaster","Osphronemidae",NA,2,NA,"species"
"2938",NA,"Channa","Channidae",NA,6,NA,"genus"
"2939",NA,"Parachanna","Channidae",NA,1,NA,"genus"
"2940","Aesopia cornuta","Aesopia","Soleidae",NA,1,NA,"species"
"2941","Pardachirus pavoninus","Pardachirus","Soleidae",NA,1,NA,"species"
"2942","Tetraodon nigroviridis","Tetraodon","Tetraodontidae",NA,2,NA,"species"
"2943","Ranzania laevis","Ranzania","Molidae",NA,1,NA,"species"
"2944","Chirocentrus dorab","Chirocentrus","Chirocentridae",NA,1,NA,"species"
"2945","Jenkinsia lamprotaenia","Jenkinsia","Clupeidae",NA,1,NA,"species"
"2946","Salanx ariakensis","Salanx","Salangidae",NA,1,NA,"species"
"2947","Sundasalanx mekongensis","Sundasalanx","Clupeidae",NA,1,NA,"species"
"2948","Mola mola","Mola","Molidae",NA,1,1,"species"
"2949","Masturus lanceolatus","Masturus","Molidae",NA,1,NA,"species"
"2950","Chlorurus sordidus","Chlorurus","Labridae",NA,1,NA,"species"
"2951","Gallus sonneratii","Gallus","Phasianidae",NA,1,NA,"species"
"2952",NA,"Arothron","Tetraodontidae",NA,4,NA,"genus"
"2953","Canthigaster coronata","Canthigaster","Tetraodontidae",NA,1,NA,"species"
"2954","Canthigaster rivulata","Canthigaster","Tetraodontidae",NA,1,NA,"species"
"2955","Sphoeroides pachygaster","Sphoeroides","Tetraodontidae",NA,1,NA,"species"
"2956","Hemiodopsis gracilis","Hemiodopsis","Hemiodontidae",NA,1,NA,"species"
"2957",NA,"Lebiasina","Lebiasinidae",NA,1,NA,"genus"
"2958","Synodontis schoutedeni","Synodontis","Mochokidae",NA,1,NA,"species"
"2959","Pimelodus pictus","Pimelodus","Pimelodidae",NA,4,NA,"species"
"2960","Vinciguerria nimbaria","Vinciguerria","Phosichthyidae",NA,1,NA,"species"
"2961","Bedotia geayi","Bedotia","Bedotiidae",NA,1,NA,"species"
"2962","Pseudomugil gertrudae","Pseudomugil","Pseudomugilidae",NA,1,NA,"species"
"2963","Telmatherina celebensis","Telmatherina","Telmatherinidae",NA,4,NA,"species"
"2964","Phenacostethus smithi","Phenacostethus","Phallostethidae",NA,1,NA,"species"
"2965","Dermogenys pusilla","Dermogenys","Zenarchopteridae",NA,2,NA,"species"
"2966","Fundulus olivaceus","Fundulus","Fundulidae",NA,1,NA,"species"
"2967","Xenotoca eiseni","Xenotoca","Goodeidae",NA,1,NA,"species"
"2968","Aulostomus chinensis","Aulostomus","Aulostomidae",NA,1,NA,"species"
"2969","Aeoliscus strigatus","Aeoliscus","Centriscidae",NA,2,NA,"species"
"2970","Platycephalus indicus","Platycephalus","Platycephalidae",NA,2,NA,"species"
"2971","Hoplichthys gilberti","Hoplichthys","Hoplichthyidae",NA,1,NA,"species"
"2972",NA,NA,"Anoplopomatidae",NA,1,NA,"family"
"2973","Marukawichthys ambulator","Marukawichthys","Ereuniidae",NA,1,NA,"species"
"2974","Lates japonicus","Lates","Centropomidae",NA,1,NA,"species"
"2975","Lateolabrax japonicus","Lateolabrax","Lateolabracidae",NA,1,NA,"species"
"2976","Morone americana","Morone","Moronidae",NA,1,NA,"species"
"2977","Percichthys trucha","Percichthys","Percichthyidae",NA,1,NA,"species"
"2978",NA,"Percilia","Percichthyidae",NA,1,NA,"genus"
"2979","Synagrops japonicus","Synagrops","Acropomatidae",NA,1,NA,"species"
"2980","Grammistes sexlineatus","Grammistes","Serranidae",NA,1,NA,"species"
"2981","Pseudanthias squamipinnis","Pseudanthias","Serranidae",NA,1,NA,"species"
"2982","Callanthias japonicus","Callanthias","Callanthiidae",NA,1,NA,"species"
"2983","Labracinus cyclophthalmus","Labracinus","Pseudochromidae",NA,1,NA,"species"
"2984","Plesiops nakaharae","Plesiops","Plesiopidae",NA,1,NA,"species"
"2985","Opistognathus evermanni","Opistognathus","Opistognathidae",NA,1,NA,"species"
"2986","Priacanthus macracanthus","Priacanthus","Priacanthidae",NA,1,NA,"species"
"2987","Epigonus denticulatus","Epigonus","Epigonidae",NA,1,NA,"species"
"2988","Sillaginopsis panijus","Sillaginopsis","Sillaginidae",NA,1,NA,"species"
"2989","Sillago japonica","Sillago","Sillaginidae",NA,1,NA,"species"
"2990","Mastacembelus erythrotaenia","Mastacembelus","Mastacembelidae",NA,1,NA,"species"
"2991","Toxotes chatareus","Toxotes","Toxotidae",NA,1,NA,"species"
"2992","Histiopterus typus","Histiopterus","Pentacerotidae",NA,1,NA,"species"
"2993","Badis badis","Badis","Badidae",NA,2,NA,"species"
"2994","Nandus nandus","Nandus","Nandidae",NA,1,NA,"species"
"2995","Arripis trutta","Arripis","Arripidae",NA,1,NA,"species"
"2996","Rhynchopelates oxyrhynchus","Rhynchopelates","Terapontidae",NA,1,NA,"species"
"2997","Acanthocepola krusensternii","Acanthocepola","Cepolidae",NA,1,NA,"species"
"2998","Elassoma zonatum","Elassoma","Elassomatidae",NA,1,NA,"species"
"2999","Dysalotus alcocki","Dysalotus","Chiasmodontidae",NA,1,NA,"species"
"3000","Champsodon cf. snyderi CBM-ZF 10876","Champsodon","Champsodontidae",NA,1,NA,"species"
"3001","Parapercis sexfasciata","Parapercis","Pinguipedidae",NA,1,NA,"species"
"3002",NA,"Trichonotus","Trichonotidae",NA,1,NA,"genus"
"3003","Limnichthys fasciatus","Limnichthys","Creediidae",NA,1,NA,"species"
"3004","Acanthaphritis unoorum","Acanthaphritis","Percophidae",NA,1,NA,"species"
"3005","Ichthyscopus lebeck","Ichthyscopus","Uranoscopidae",NA,1,NA,"species"
"3006","Uranoscopus japonicus","Uranoscopus","Uranoscopidae",NA,1,NA,"species"
"3007","Neoclinus bryope","Neoclinus","Labrisomidae",NA,1,NA,"species"
"3008","Synchiropus splendidus","Synchiropus","Callionymidae",NA,1,NA,"species"
"3009",NA,"Platax","Ephippidae",NA,1,NA,"genus"
"3010","Scatophagus argus","Scatophagus","Scatophagidae",NA,2,NA,"species"
"3011","Luvarus imperialis","Luvarus","Luvaridae",NA,1,NA,"species"
"3012",NA,"Sphyraena","Sphyraenidae",NA,1,NA,"genus"
"3013","Psenopsis anomala","Psenopsis","Centrolophidae",NA,3,NA,"species"
"3014",NA,"Luciocephalus","Osphronemidae",NA,1,NA,"genus"
"3015","Anabas testudineus","Anabas","Anabantidae",NA,2,NA,"species"
"3016","Osphronemus goramy","Osphronemus","Osphronemidae",NA,2,NA,"species"
"3017",NA,"Psettodes","Psettodidae",NA,1,NA,"genus"
"3018","Galaxiella nigrostriata","Galaxiella","Galaxiidae",NA,1,NA,"species"
"3019","Serrivomer sector","Serrivomer","Serrivomeridae",NA,1,NA,"species"
"3020","Cromeria occidentalis","Cromeria","Kneriidae",NA,1,NA,"species"
"3021","Denticeps clupeoides","Denticeps","Denticipitidae",NA,1,NA,"species"
"3022","Grasseichthys gabonensis","Grasseichthys","Kneriidae",NA,1,NA,"species"
"3023","Kneria sp. SL-2004","Kneria","Kneriidae",NA,1,NA,"species"
"3024","Parakneria cameronensis","Parakneria","Kneriidae",NA,1,NA,"species"
"3025","Nisaetus nipalensis","Nisaetus","Accipitridae",NA,1,NA,"species"
"3026","Nisaetus alboniger","Nisaetus","Accipitridae",NA,1,NA,"species"
"3027","Chitala lopis","Chitala","Notopteridae",NA,1,NA,"species"
"3028","Chitala ornata","Chitala","Notopteridae",NA,1,NA,"species"
"3029","Notopterus notopterus","Notopterus","Notopteridae",NA,2,NA,"species"
"3030","Papyrocranus congoensis","Papyrocranus","Notopteridae",NA,1,NA,"species"
"3031","Xenomystus nigri","Xenomystus","Notopteridae",NA,1,NA,"species"
"3032","Gnathonemus petersii","Gnathonemus","Mormyridae",NA,1,NA,"species"
"3033","Brevimyrus niger","Brevimyrus","Mormyridae",NA,1,NA,"species"
"3034","Gymnarchus niloticus","Gymnarchus","Gymnarchidae",NA,2,NA,"species"
"3035","Bathygadus antrodes","Bathygadus","Macrouridae",NA,1,NA,"species"
"3036","Squalogadus modificatus","Squalogadus","Macrouridae",NA,1,NA,"species"
"3037","Trachyrincus murrayi","Trachyrincus","Macrouridae",NA,1,NA,"species"
"3038","Ventrifossa garmani","Ventrifossa","Macrouridae",NA,1,NA,"species"
"3039","Synthliboramphus antiquus","Synthliboramphus","Alcidae",NA,1,NA,"species"
"3040","Phaethon rubricauda","Phaethon","Phaethontidae",NA,2,NA,"species"
"3041","Pseudaspius leptocephalus","Pseudaspius","Leuciscidae",NA,1,NA,"species"
"3042",NA,"Oreochromis","Cichlidae",NA,3,NA,"genus"
"3043","Astronotus ocellatus","Astronotus","Cichlidae",NA,1,NA,"species"
"3044","Cymatogaster aggregata","Cymatogaster","Embiotocidae",NA,1,NA,"species"
"3045","Ditrema temminckii","Ditrema","Embiotocidae",NA,1,NA,"species"
"3046","Olisthops cyanomelas","Olisthops","Odacidae",NA,1,NA,"species"
"3047",NA,"Alosa","Clupeidae",NA,2,NA,"genus"
"3048","Alosa pseudoharengus","Alosa","Clupeidae",NA,1,NA,"species"
"3049",NA,"Clupea","Clupeidae",NA,1,NA,"genus"
"3050",NA,"Coilia","Engraulidae",NA,3,NA,"genus"
"3051","Dorosoma petenense","Dorosoma","Clupeidae",NA,1,NA,"species"
"3052","Ethmalosa fimbriata","Ethmalosa","Clupeidae",NA,1,NA,"species"
"3053","Etrumeus micropus","Etrumeus","Dussumieriidae",NA,1,NA,"species"
"3054","Ilisha africana","Ilisha","Pristigasteridae",NA,1,NA,"species"
"3055","Ilisha elongata","Ilisha","Pristigasteridae",NA,1,NA,"species"
"3056","Nematalosa japonica","Nematalosa","Clupeidae",NA,1,NA,"species"
"3057","Sardinella maderensis","Sardinella","Clupeidae",NA,1,NA,"species"
"3058","Spratelloides delicatulus","Spratelloides","Clupeidae",NA,1,NA,"species"
"3059","Spratelloides gracilis","Spratelloides","Clupeidae",NA,1,NA,"species"
"3060","Rhynchocypris lagowskii","Rhynchocypris","Leuciscidae",NA,4,NA,"species"
"3061","Phoxinus steindachneri","Phoxinus","Leuciscidae",NA,2,NA,"species"
"3062","Rhynchocypris percnurus","Rhynchocypris","Leuciscidae",NA,2,NA,"species"
"3063","Chrosomus eos","Chrosomus","Leuciscidae",NA,1,NA,"species"
"3064","Zanclus cornutus","Zanclus","Zanclidae",NA,1,NA,"species"
"3065","Naso lopezi","Naso","Acanthuridae",NA,1,NA,"species"
"3066","Monotaxis grandoculis","Monotaxis","Lethrinidae",NA,1,NA,"species"
"3067","Parapristipoma trilineatum","Parapristipoma","Haemulidae",NA,1,NA,"species"
"3068","Monodactylus argenteus","Monodactylus","Monodactylidae",NA,1,NA,"species"
"3069","Triodon macropterus","Triodon","Triodontidae",NA,1,NA,"species"
"3070","Macrorhamphosodes uradoi","Macrorhamphosodes","Triacanthodidae",NA,1,NA,"species"
"3071","Triacanthodes anomalus","Triacanthodes","Triacanthodidae",NA,1,NA,"species"
"3072","Trixiphichthys weberi","Trixiphichthys","Triacanthidae",NA,1,NA,"species"
"3073","Triacanthus biaculeatus","Triacanthus","Triacanthidae",NA,1,NA,"species"
"3074","Kentrocapros aculeatus","Kentrocapros","Aracanidae",NA,1,NA,"species"
"3075",NA,"Ostracion","Ostraciidae",NA,1,NA,"genus"
"3076",NA,"Diodon","Diodontidae",NA,1,NA,"genus"
"3077","Doederleinia berycoides","Doederleinia","Acropomatidae",NA,1,NA,"species"
"3078","Xenobalistes tumidipectoris","Xenobalistes","Balistidae",NA,1,NA,"species"
"3079","Aluterus scriptus","Aluterus","Monacanthidae",NA,1,NA,"species"
"3080","Cantherhines pardalis","Cantherhines","Monacanthidae",NA,1,NA,"species"
"3081",NA,"Thamnaconus","Monacanthidae",NA,1,NA,"genus"
"3082","Anoplocapros lenticularis","Anoplocapros","Aracanidae",NA,1,NA,"species"
"3083","Lactoria diaphana","Lactoria","Ostraciidae",NA,1,NA,"species"
"3084","Chilomycterus reticulatus","Chilomycterus","Diodontidae",NA,1,NA,"species"
"3085","Eudyptes chrysocome","Eudyptes","Spheniscidae",NA,1,NA,"species"
"3086","Gavia pacifica","Gavia","Gaviidae",NA,1,NA,"species"
"3087","Procellaria cinerea","Procellaria","Procellariidae",NA,1,NA,"species"
"3088",NA,"Thalassarche","Diomedeidae",NA,1,NA,"genus"
"3089","Aulorhynchus flavidus","Aulorhynchus","Aulorhynchidae",NA,1,NA,"species"
"3090","Abalistes stellaris","Abalistes","Balistidae",NA,1,NA,"species"
"3091","Balistapus undulatus","Balistapus","Balistidae",NA,1,NA,"species"
"3092","Balistes vetula","Balistes","Balistidae",NA,1,NA,"species"
"3093","Balistoides conspicillum","Balistoides","Balistidae",NA,1,NA,"species"
"3094","Canthidermis maculata","Canthidermis","Balistidae",NA,2,NA,"species"
"3095","Melichthys vidua","Melichthys","Balistidae",NA,1,NA,"species"
"3096","Odonus niger","Odonus","Balistidae",NA,1,NA,"species"
"3097","Pseudobalistes flavimarginatus","Pseudobalistes","Balistidae",NA,1,NA,"species"
"3098","Rhinecanthus aculeatus","Rhinecanthus","Balistidae",NA,1,NA,"species"
"3099","Xanthichthys auromarginatus","Xanthichthys","Balistidae",NA,1,NA,"species"
"3100",NA,NA,"Monacanthidae",NA,2,NA,"family"
"3101","Acreichthys tomentosus","Acreichthys","Monacanthidae",NA,1,NA,"species"
"3102","Amanses scopas","Amanses","Monacanthidae",NA,1,NA,"species"
"3103","Brachaluteres ulvarum","Brachaluteres","Monacanthidae",NA,1,NA,"species"
"3104","Chaetodermis penicilligerus","Chaetodermis","Monacanthidae",NA,1,NA,"species"
"3105","Monacanthus chinensis","Monacanthus","Monacanthidae",NA,1,NA,"species"
"3106","Nelusetta ayraudi","Nelusetta","Monacanthidae",NA,1,NA,"species"
"3107","Oxymonacanthus longirostris","Oxymonacanthus","Monacanthidae",NA,1,NA,"species"
"3108","Paraluteres prionurus","Paraluteres","Monacanthidae",NA,1,NA,"species"
"3109","Paramonacanthus choirocephalus","Paramonacanthus","Monacanthidae",NA,1,NA,"species"
"3110","Pervagor janthinosoma","Pervagor","Monacanthidae",NA,1,NA,"species"
"3111","Pseudomonacanthus peroni","Pseudomonacanthus","Monacanthidae",NA,1,NA,"species"
"3112","Pseudalutarius nasicornis","Pseudalutarius","Monacanthidae",NA,1,NA,"species"
"3113","Rudarius ercodes","Rudarius","Monacanthidae",NA,2,NA,"species"
"3114","Scobinichthys granulatus","Scobinichthys","Monacanthidae",NA,1,NA,"species"
"3115","Pellonula vorax","Pellonula","Clupeidae",NA,1,NA,"species"
"3116","Pellonula leonensis","Pellonula","Clupeidae",NA,4,NA,"species"
"3117","Sprattus sprattus","Sprattus","Clupeidae",NA,2,1,"species"
"3118","Acrossocheilus paradoxus","Acrossocheilus","Cyprinidae",NA,1,NA,"species"
"3119","Abramis brama","Abramis","Leuciscidae",NA,1,NA,"species"
"3120","Cobitis takatsuensis","Cobitis","Cobitidae",NA,2,NA,"species"
"3121","Leucaspius delineatus","Leucaspius","Leuciscidae",NA,1,NA,"species"
"3122","Niwaella delicata","Niwaella","Cobitidae",NA,1,NA,"species"
"3123","Pseudogobio esocinus","Pseudogobio","Gobionidae",NA,3,NA,"species"
"3124","Onychostoma barbatulum","Onychostoma","Cyprinidae",NA,1,NA,"species"
"3125","Enteromius callipterus","Enteromius","Cyprinidae",NA,1,NA,"species"
"3126","Enteromius guirali","Enteromius","Cyprinidae",NA,1,NA,"species"
"3127","Alepocephalus bicolor","Alepocephalus","Alepocephalidae",NA,1,NA,"species"
"3128","Bathyprion danae","Bathyprion","Alepocephalidae",NA,1,NA,"species"
"3129","Bathytroctes microlepis","Bathytroctes","Alepocephalidae",NA,1,NA,"species"
"3130","Leptochilichthys agassizii","Leptochilichthys","Leptochilichthyidae",NA,1,NA,"species"
"3131","Maulisia mauli","Maulisia","Platytroctidae",NA,1,NA,"species"
"3132",NA,"Narcetes","Alepocephalidae",NA,1,NA,"genus"
"3133","Normichthys operosus","Normichthys","Platytroctidae",NA,1,NA,"species"
"3134","Bathylaco nigricans","Bathylaco","Alepocephalidae",NA,1,NA,"species"
"3135","Sagamichthys abei","Sagamichthys","Platytroctidae",NA,1,NA,"species"
"3136","Jenkinsia sp. CL54","Jenkinsia","Clupeidae",NA,1,NA,"species"
"3137","Arapaima gigas","Arapaima","Osteoglossidae",NA,1,NA,"species"
"3138","Heterotis niloticus","Heterotis","Osteoglossidae",NA,1,NA,"species"
"3139","Hiodon tergisus","Hiodon","Hiodontidae",NA,1,NA,"species"
"3140",NA,NA,"Mormyridae",NA,1,NA,"family"
"3141","Myomyrus macrops","Myomyrus","Mormyridae",NA,1,NA,"species"
"3142","Petrocephalus soudanensis","Petrocephalus","Mormyridae",NA,1,NA,"species"
"3143","Paretroplus maculatus","Paretroplus","Cichlidae",NA,1,NA,"species"
"3144","Etroplus maculatus","Etroplus","Cichlidae",NA,1,NA,"species"
"3145","Hypselecara temporalis","Hypselecara","Cichlidae",NA,1,NA,"species"
"3146","Ptychochromoides katria","Ptychochromoides","Cichlidae",NA,1,NA,"species"
"3147","Paratilapia polleni","Paratilapia","Cichlidae",NA,1,NA,"species"
"3148","Tylochromis polylepis","Tylochromis","Cichlidae",NA,1,NA,"species"
"3149",NA,"Takifugu","Tetraodontidae",NA,2,NA,"genus"
"3150","Takifugu vermicularis","Takifugu","Tetraodontidae",NA,1,NA,"species"
"3151","Takifugu oblongus","Takifugu","Tetraodontidae",NA,1,NA,"species"
"3152","Torquigener brevipinnis","Torquigener","Tetraodontidae",NA,1,NA,"species"
"3153",NA,"Lagocephalus","Tetraodontidae",NA,1,NA,"genus"
"3154","Chelonodontops patoca","Chelonodontops","Tetraodontidae",NA,1,NA,"species"
"3155","Alepocephalus longiceps","Alepocephalus","Alepocephalidae",NA,1,NA,"species"
"3156","Alepocephalus productus","Alepocephalus","Alepocephalidae",NA,1,NA,"species"
"3157","Bathytroctes breviceps","Bathytroctes","Alepocephalidae",NA,1,NA,"species"
"3158",NA,NA,"Alepocephalidae",NA,1,NA,"family"
"3159","Bajacalifornia megalops","Bajacalifornia","Alepocephalidae",NA,1,NA,"species"
"3160","Bathytroctes michaelsarsi","Bathytroctes","Alepocephalidae",NA,1,NA,"species"
"3161","Conocara macropterum","Conocara","Alepocephalidae",NA,1,NA,"species"
"3162","Conocara murrayi","Conocara","Alepocephalidae",NA,1,NA,"species"
"3163","Herwigia kreffti","Herwigia","Alepocephalidae",NA,1,NA,"species"
"3164","Leptoderma lubricum","Leptoderma","Alepocephalidae",NA,1,NA,"species"
"3165","Leptoderma retropinna","Leptoderma","Alepocephalidae",NA,1,NA,"species"
"3166","Narcetes stomias","Narcetes","Alepocephalidae",NA,1,NA,"species"
"3167","Talismania bifurcata","Talismania","Alepocephalidae",NA,1,NA,"species"
"3168","Xenodermichthys copei","Xenodermichthys","Alepocephalidae",NA,1,1,"species"
"3169","Petrocephalus microphthalmus","Petrocephalus","Mormyridae",NA,1,NA,"species"
"3170","Paramormyrops gabonensis","Paramormyrops","Mormyridae",NA,1,NA,"species"
"3171","Clupeonella cultriventris","Clupeonella","Clupeidae",NA,1,NA,"species"
"3172","Thryssa baelama","Thryssa","Engraulidae",NA,1,NA,"species"
"3173","Amazonsprattus scintilla","Amazonsprattus","Engraulidae",NA,1,NA,"species"
"3174",NA,"Brevoortia","Clupeidae",NA,1,NA,"genus"
"3175","Pellona flavipinnis","Pellona","Pristigasteridae",NA,1,NA,"species"
"3176",NA,NA,"Gastromyzontidae",NA,3,NA,"family"
"3177",NA,"Squalidus","Gobionidae",NA,5,NA,"genus"
"3178","Candidia barbata","Candidia","Xenocyprididae",NA,1,NA,"species"
"3179","Raiamas senegalensis","Raiamas","Danionidae",NA,1,NA,"species"
"3180","Accipiter gentilis","Accipiter","Accipitridae",NA,1,NA,"species"
"3181","Gallirallus okinawae","Gallirallus","Rallidae",NA,1,NA,"species"
"3182","Rallina eurizonoides","Rallina","Rallidae",NA,1,NA,"species"
"3183","Coturnicops exquisitus","Coturnicops","Rallidae",NA,1,NA,"species"
"3184","Moringua edwardsi","Moringua","Moringuidae",NA,1,NA,"species"
"3185","Moringua microchir","Moringua","Moringuidae",NA,2,NA,"species"
"3186","Pythonichthys microphthalmus","Pythonichthys","Heterenchelyidae",NA,1,NA,"species"
"3187","Anarchias sp. Ansp","Anarchias","Muraenidae",NA,1,NA,"species"
"3188","Rhinomuraena quaesita","Rhinomuraena","Muraenidae",NA,1,NA,"species"
"3189","Kaupichthys hyoproroides","Kaupichthys","Chlopsidae",NA,1,NA,"species"
"3190","Robinsia catherinae","Robinsia","Chlopsidae",NA,1,NA,"species"
"3191","Myroconger compressus","Myroconger","Myrocongridae",NA,1,NA,"species"
"3192","Ilyophis brunneus","Ilyophis","Synaphobranchidae",NA,2,NA,"species"
"3193","Derichthys serpentinus","Derichthys","Derichthyidae",NA,1,NA,"species"
"3194","Muraenesox bagio","Muraenesox","Muraenesocidae",NA,1,NA,"species"
"3195","Cynoponticus ferox","Cynoponticus","Muraenesocidae",NA,1,NA,"species"
"3196","Avocettina infans","Avocettina","Nemichthyidae",NA,2,NA,"species"
"3197","Labichthys carinatus","Labichthys","Nemichthyidae",NA,1,NA,"species"
"3198","Serrivomer beanii","Serrivomer","Serrivomeridae",NA,1,NA,"species"
"3199","Stemonidium hypomelas","Stemonidium","Serrivomeridae",NA,1,NA,"species"
"3200","Heteroconger hassi","Heteroconger","Congridae",NA,1,NA,"species"
"3201","Paraconger notialis","Paraconger","Congridae",NA,1,NA,"species"
"3202","Ariosoma shiroanago","Ariosoma","Congridae",NA,1,NA,"species"
"3203","Myrichthys maculosus","Myrichthys","Ophichthidae",NA,2,NA,"species"
"3204","Coloconger cadenati","Coloconger","Colocongridae",NA,1,NA,"species"
"3205","Nettastoma parviceps","Nettastoma","Nettastomatidae",NA,1,NA,"species"
"3206","Hoplunnis punctata","Hoplunnis","Nettastomatidae",NA,1,NA,"species"
"3207",NA,"Facciolella","Nettastomatidae",NA,1,NA,"genus"
"3208",NA,"Congriscus","Congridae",NA,1,NA,"genus"
"3209","Leptocephalus sp. 'type II larva'","Leptocephalus","Nettastomatidae",NA,1,NA,"species"
"3210","Monognathus jesperseni","Monognathus","Monognathidae",NA,1,NA,"species"
"3211","Cyema atrum","Cyema","Cyematidae",NA,1,NA,"species"
"3212","Barbourisia rufa","Barbourisia","Barbourisiidae",NA,1,NA,"species"
"3213","Procetichthys kreffti","Procetichthys","Cetomimidae",NA,1,NA,"species"
"3214","Cetomimus sp. AMS I34481001","Cetomimus","Cetomimidae",NA,1,NA,"species"
"3215","Cetostoma regani","Cetostoma","Cetomimidae",NA,1,NA,"species"
"3216","Gyrinomimus sp. UW 113191","Gyrinomimus","Cetomimidae",NA,1,NA,"species"
"3217","Gyrinomimus myersi","Gyrinomimus","Cetomimidae",NA,1,NA,"species"
"3218","Kyphosus cinerascens","Kyphosus","Kyphosidae",NA,1,NA,"species"
"3219","Labracoglossa argenteiventris","Labracoglossa","Kyphosidae",NA,1,NA,"species"
"3220",NA,"Scorpis","Kyphosidae",NA,1,NA,"genus"
"3221","Kuhlia mugil","Kuhlia","Kuhliidae",NA,2,NA,"species"
"3222","Oplegnathus punctatus","Oplegnathus","Oplegnathidae",NA,1,NA,"species"
"3223","Psenes cyanophrys","Psenes","Nomeidae",NA,1,NA,"species"
"3224","Carassioides acuminatus","Carassioides","Cyprinidae",NA,2,NA,"species"
"3225","Amblyrhynchichthys truncatus","Amblyrhynchichthys","Cyprinidae",NA,1,NA,"species"
"3226","Aulopyge huegelii","Aulopyge","Cyprinidae",NA,1,NA,"species"
"3227","Barbonymus altus","Barbonymus","Cyprinidae",NA,1,NA,"species"
"3228",NA,"Capoeta","Cyprinidae",NA,1,NA,"genus"
"3229","Catlocarpio siamensis","Catlocarpio","Cyprinidae",NA,1,NA,"species"
"3230","Cyclocheilichthys janthochir","Cyclocheilichthys","Cyprinidae",NA,1,NA,"species"
"3231","Hampala macrolepidota","Hampala","Cyprinidae",NA,1,NA,"species"
"3232","Probarbus jullieni","Probarbus","Cyprinidae",NA,1,NA,"species"
"3233","Sawbwa resplendens","Sawbwa","Cyprinidae",NA,1,NA,"species"
"3234","Systomus orphoides","Systomus","Cyprinidae",NA,1,NA,"species"
"3235","Barbus sp. CToL 051","Barbus","Cyprinidae",NA,1,NA,"species"
"3236","Labeobarbus maroccanus","Labeobarbus","Cyprinidae",NA,1,NA,"species"
"3237","Mystacoleucus marginatus","Mystacoleucus","Cyprinidae",NA,1,NA,"species"
"3238",NA,"Onychostoma","Cyprinidae",NA,2,NA,"genus"
"3239","Enteromius hulstaerti","Enteromius","Cyprinidae",NA,1,NA,"species"
"3240","Labeobarbus intermedius","Labeobarbus","Cyprinidae",NA,1,NA,"species"
"3241","Luciobarbus sclateri","Luciobarbus","Cyprinidae",NA,1,NA,"species"
"3242","Garra rufa","Garra","Cyprinidae",NA,1,NA,"species"
"3243","Labeo chrysophekadion","Labeo","Cyprinidae",NA,1,NA,"species"
"3244","Labeo pierrei","Labeo","Cyprinidae",NA,1,NA,"species"
"3245","Labeo rohita","Labeo","Cyprinidae",NA,2,NA,"species"
"3246","Garra orientalis","Garra","Cyprinidae",NA,1,NA,"species"
"3247",NA,"Labiobarbus","Cyprinidae",NA,1,NA,"genus"
"3248","Epalzeorhynchos bicolor","Epalzeorhynchos","Cyprinidae",NA,1,NA,"species"
"3249","Garra congoensis","Garra","Cyprinidae",NA,1,NA,"species"
"3250","Labeo cylindricus","Labeo","Cyprinidae",NA,1,NA,"species"
"3251",NA,"Schizothorax","Cyprinidae",NA,3,NA,"genus"
"3252","Paralaubuca typus","Paralaubuca","Xenocyprididae",NA,1,NA,"species"
"3253","Elopichthys bambusa","Elopichthys","Xenocyprididae",NA,1,NA,"species"
"3254","Squalius cephalus","Squalius","Leuciscidae",NA,1,NA,"species"
"3255","Gila sp. 1460","Gila","Leuciscidae",NA,1,NA,"species"
"3256","Mylopharyngodon piceus","Mylopharyngodon","Xenocyprididae",NA,2,NA,"species"
"3257","Hypophthalmichthys nobilis","Hypophthalmichthys","Xenocyprididae",NA,2,NA,"species"
"3258","Squaliobarbus curriculus","Squaliobarbus","Xenocyprididae",NA,1,NA,"species"
"3259",NA,"Megalobrama","Xenocyprididae",NA,2,NA,"genus"
"3260","Rasbora sumatrana","Rasbora","Danionidae",NA,1,NA,"species"
