"";"eDNA.D-value.Obs";"eDNA.p_random";"eDNA.p_brown";"trawl.D-value.Obs";"trawl.p_random";"trawl.p_brown"
"mean";1,09824087895031;0,6564524;0,0020794;0,843604367974124;0,1948635;0,002292
"sd";0,00912781324339472;0,0175820319367444;0,00146024274382278;0,00600840404051344;0,0129037404810326;0,00152688216209165
